199m 16s (- 1258m 51s) (4100 13%) train loss: 1.0199, val_seen loss: 1.0164, success_rate: 0.137, val_unseen loss: 1.0208, success_rate: 0.127
204m 7s (- 1253m 54s) (4200 14%) train loss: 1.0198, val_seen loss: 1.0152, success_rate: 0.137, val_unseen loss: 1.0202, success_rate: 0.126
208m 58s (- 1249m 0s) (4300 14%) train loss: 1.0198, val_seen loss: 1.0163, success_rate: 0.131, val_unseen loss: 1.0161, success_rate: 0.122
213m 50s (- 1244m 7s) (4400 14%) train loss: 1.0182, val_seen loss: 1.0107, success_rate: 0.132, val_unseen loss: 1.0126, success_rate: 0.122
218m 39s (- 1239m 3s) (4500 15%) train loss: 1.0189, val_seen loss: 1.0142, success_rate: 0.136, val_unseen loss: 1.0194, success_rate: 0.122
223m 29s (- 1234m 3s) (4600 15%) train loss: 1.0137, val_seen loss: 1.0166, success_rate: 0.133, val_unseen loss: 1.0218, success_rate: 0.119
228m 22s (- 1229m 17s) (4700 15%) train loss: 1.0140, val_seen loss: 1.0056, success_rate: 0.117, val_unseen loss: 1.0139, success_rate: 0.112
233m 13s (- 1224m 26s) (4800 16%) train loss: 1.0133, val_seen loss: 1.0108, success_rate: 0.122, val_unseen loss: 1.0164, success_rate: 0.107
238m 5s (- 1219m 38s) (4900 16%) train loss: 1.0115, val_seen loss: 1.0073, success_rate: 0.124, val_unseen loss: 1.0147, success_rate: 0.111
242m 57s (- 1214m 49s) (5000 16%) train loss: 1.0132, val_seen loss: 1.0080, success_rate: 0.122, val_unseen loss: 1.0155, success_rate: 0.109
247m 48s (- 1209m 55s) (5100 17%) train loss: 1.0071, val_seen loss: 1.0135, success_rate: 0.128, val_unseen loss: 1.0198, success_rate: 0.112
252m 40s (- 1205m 1s) (5200 17%) train loss: 1.0106, val_seen loss: 0.9999, success_rate: 0.119, val_unseen loss: 1.0140, success_rate: 0.113
257m 32s (- 1200m 13s) (5300 17%) train loss: 1.0078, val_seen loss: 1.0017, success_rate: 0.120, val_unseen loss: 1.0060, success_rate: 0.109
262m 23s (- 1195m 19s) (5400 18%) train loss: 1.0044, val_seen loss: 0.9994, success_rate: 0.120, val_unseen loss: 1.0059, success_rate: 0.106
267m 13s (- 1190m 22s) (5500 18%) train loss: 1.0057, val_seen loss: 1.0035, success_rate: 0.119, val_unseen loss: 1.0113, success_rate: 0.106
272m 3s (- 1185m 22s) (5600 18%) train loss: 1.0043, val_seen loss: 1.0049, success_rate: 0.122, val_unseen loss: 1.0066, success_rate: 0.111
276m 54s (- 1180m 31s) (5700 19%) train loss: 0.9988, val_seen loss: 0.9930, success_rate: 0.117, val_unseen loss: 1.0027, success_rate: 0.115
281m 43s (- 1175m 28s) (5800 19%) train loss: 0.9972, val_seen loss: 0.9966, success_rate: 0.120, val_unseen loss: 1.0078, success_rate: 0.109
286m 34s (- 1170m 36s) (5900 19%) train loss: 0.9999, val_seen loss: 0.9916, success_rate: 0.122, val_unseen loss: 0.9998, success_rate: 0.119
291m 28s (- 1165m 52s) (6000 20%) train loss: 0.9941, val_seen loss: 0.9974, success_rate: 0.114, val_unseen loss: 1.0093, success_rate: 0.115
296m 16s (- 1160m 50s) (6100 20%) train loss: 0.9970, val_seen loss: 0.9938, success_rate: 0.115, val_unseen loss: 1.0042, success_rate: 0.117
301m 9s (- 1156m 3s) (6200 20%) train loss: 0.9955, val_seen loss: 0.9955, success_rate: 0.116, val_unseen loss: 1.0073, success_rate: 0.114
306m 5s (- 1151m 29s) (6300 21%) train loss: 0.9901, val_seen loss: 0.9906, success_rate: 0.116, val_unseen loss: 0.9974, success_rate: 0.114
310m 57s (- 1146m 41s) (6400 21%) train loss: 0.9939, val_seen loss: 0.9877, success_rate: 0.116, val_unseen loss: 0.9934, success_rate: 0.117
315m 47s (- 1141m 41s) (6500 21%) train loss: 0.9898, val_seen loss: 0.9860, success_rate: 0.117, val_unseen loss: 0.9964, success_rate: 0.115
320m 39s (- 1136m 54s) (6600 22%) train loss: 0.9920, val_seen loss: 0.9840, success_rate: 0.118, val_unseen loss: 0.9956, success_rate: 0.112
325m 28s (- 1131m 54s) (6700 22%) train loss: 0.9886, val_seen loss: 0.9886, success_rate: 0.122, val_unseen loss: 0.9975, success_rate: 0.115
330m 16s (- 1126m 50s) (6800 22%) train loss: 0.9851, val_seen loss: 0.9954, success_rate: 0.119, val_unseen loss: 0.9972, success_rate: 0.114
335m 4s (- 1121m 47s) (6900 23%) train loss: 0.9887, val_seen loss: 0.9883, success_rate: 0.124, val_unseen loss: 0.9939, success_rate: 0.114
339m 52s (- 1116m 45s) (7000 23%) train loss: 0.9869, val_seen loss: 0.9783, success_rate: 0.120, val_unseen loss: 0.9915, success_rate: 0.116
344m 44s (- 1111m 53s) (7100 23%) train loss: 0.9851, val_seen loss: 0.9855, success_rate: 0.125, val_unseen loss: 0.9919, success_rate: 0.121
349m 32s (- 1106m 52s) (7200 24%) train loss: 0.9843, val_seen loss: 0.9864, success_rate: 0.121, val_unseen loss: 0.9942, success_rate: 0.117
354m 21s (- 1101m 55s) (7300 24%) train loss: 0.9841, val_seen loss: 0.9823, success_rate: 0.126, val_unseen loss: 0.9968, success_rate: 0.122
359m 10s (- 1096m 54s) (7400 24%) train loss: 0.9802, val_seen loss: 0.9828, success_rate: 0.124, val_unseen loss: 0.9909, success_rate: 0.126
363m 57s (- 1091m 53s) (7500 25%) train loss: 0.9867, val_seen loss: 0.9885, success_rate: 0.126, val_unseen loss: 0.9905, success_rate: 0.118
368m 47s (- 1086m 57s) (7600 25%) train loss: 0.9819, val_seen loss: 0.9789, success_rate: 0.127, val_unseen loss: 0.9908, success_rate: 0.121
373m 36s (- 1081m 59s) (7700 25%) train loss: 0.9807, val_seen loss: 0.9741, success_rate: 0.131, val_unseen loss: 0.9845, success_rate: 0.124
378m 22s (- 1076m 53s) (7800 26%) train loss: 0.9774, val_seen loss: 0.9910, success_rate: 0.127, val_unseen loss: 0.9987, success_rate: 0.114
383m 11s (- 1071m 57s) (7900 26%) train loss: 0.9806, val_seen loss: 0.9804, success_rate: 0.127, val_unseen loss: 0.9864, success_rate: 0.122
388m 2s (- 1067m 7s) (8000 26%) train loss: 0.9775, val_seen loss: 0.9788, success_rate: 0.130, val_unseen loss: 0.9846, success_rate: 0.120
392m 49s (- 1062m 4s) (8100 27%) train loss: 0.9800, val_seen loss: 0.9805, success_rate: 0.129, val_unseen loss: 0.9892, success_rate: 0.125
397m 37s (- 1057m 6s) (8200 27%) train loss: 0.9761, val_seen loss: 0.9862, success_rate: 0.131, val_unseen loss: 0.9955, success_rate: 0.122
402m 27s (- 1052m 11s) (8300 27%) train loss: 0.9737, val_seen loss: 0.9768, success_rate: 0.129, val_unseen loss: 0.9898, success_rate: 0.124
407m 16s (- 1047m 17s) (8400 28%) train loss: 0.9754, val_seen loss: 0.9754, success_rate: 0.132, val_unseen loss: 0.9832, success_rate: 0.122
412m 4s (- 1042m 18s) (8500 28%) train loss: 0.9762, val_seen loss: 0.9789, success_rate: 0.132, val_unseen loss: 0.9905, success_rate: 0.124
416m 53s (- 1037m 22s) (8600 28%) train loss: 0.9727, val_seen loss: 0.9804, success_rate: 0.131, val_unseen loss: 0.9978, success_rate: 0.123
421m 42s (- 1032m 27s) (8700 28%) train loss: 0.9733, val_seen loss: 0.9812, success_rate: 0.126, val_unseen loss: 0.9839, success_rate: 0.127
426m 32s (- 1027m 34s) (8800 29%) train loss: 0.9717, val_seen loss: 0.9742, success_rate: 0.130, val_unseen loss: 0.9893, success_rate: 0.120
431m 20s (- 1022m 37s) (8900 29%) train loss: 0.9761, val_seen loss: 0.9816, success_rate: 0.128, val_unseen loss: 0.9899, success_rate: 0.125
436m 8s (- 1017m 39s) (9000 30%) train loss: 0.9723, val_seen loss: 0.9769, success_rate: 0.126, val_unseen loss: 0.9804, success_rate: 0.122
440m 55s (- 1012m 39s) (9100 30%) train loss: 0.9718, val_seen loss: 0.9670, success_rate: 0.132, val_unseen loss: 0.9772, success_rate: 0.121
445m 44s (- 1007m 45s) (9200 30%) train loss: 0.9716, val_seen loss: 0.9662, success_rate: 0.129, val_unseen loss: 0.9755, success_rate: 0.122
